HorseName,Rank,HorseNum,Age,Weight,HorseWeight,Top1Win,Top2Win,Distance,S1F,Cornor3,G3F,Cornor4,HorseWin,HorseRankInTop2,HorseRankInTop3,Cutted,Male,Female,Good,Rain,Fog
블루밴드,4,8,4,52,431,8.4,1.6,1400,14.3,37.5,50.1,56.6,0,0,0,0,0,1,1,0,0
글로리번,5,1,5,56,478,8.4,1.6,1400,14,38.1,50.9,57.5,0,0,0,0,0,1,1,0,0
베티나,6,7,5,55,488,46,8.7,1400,14.8,38.7,51.5,58.1,0,0,0,0,0,1,1,0,0
정성홀리데이,7,6,4,55,470,3.8,2.9,1400,13.8,36.8,49.2,55.7,0,0,0,1,0,0,1,0,0
킹리,8,10,4,53.5,446,46,5.8,1400,14.1,37.6,50.2,56.6,0,0,0,1,0,0,1,0,0
킹오브이글,9,4,4,53,472,92,17.3,1400,13.9,37.1,49.6,56.1,0,0,0,1,0,0,1,0,0
천세만세,10,11,4,55.5,517,92,2.9,1400,14.1,37.1,49.6,56.2,0,0,0,0,1,0,1,0,0
싱싱장수,11,12,4,55.5,492,3.5,1.6,1400,14.4,38.3,51.2,57.8,0,0,0,1,0,0,1,0,0
금빛탄환,12,5,4,52,514,92,17.3,1400,13.9,36.9,49.3,55.7,0,0,0,0,1,0,1,0,0
빅트리플,1,1,3,55,486,1.2,1.4,1700,15.1,64,71.7,79.2,1,1,1,1,0,0,1,0,0
글로벌럭키,2,2,3,52,441,149.6,2,1700,14.3,62.8,70.8,78.5,0,1,1,0,0,1,1,0,0
선스타트,3,6,5,56,535,13.6,2,1700,14.6,63.3,71,78.6,0,0,1,0,1,0,1,0,0
트리플킹덤,4,9,3,54,502,49.9,4.4,1700,15.3,64.7,72.3,79.9,0,0,0,0,1,0,1,0,0
황금들판,5,3,7,55,459,149.6,21.9,1700,15.2,64.7,72.3,80,0,0,0,0,0,1,1,0,0
맹주,6,10,4,54,506,24.9,3.6,1700,15.3,65.7,74.4,80.8,0,0,0,0,1,0,1,0,0
큐티바비,7,7,4,54,478,24.9,2,1700,14.7,63.7,71.4,79,0,0,0,0,0,1,1,0,0
대군의길,8,4,4,55,501,13.6,3.6,1700,15.8,65.4,74.4,80.8,0,0,0,0,1,0,1,0,0
멋진데,9,8,3,52,462,149.6,10.9,1700,14.7,63.2,71,78.6,0,0,0,0,0,1,1,0,0
컬러즈킹,10,11,4,55,500,9.4,2,1700,16.6,64,71.8,79.4,0,0,0,1,0,0,1,0,0
캡틴포스원,11,5,3,54,460,149.6,21.9,1700,15,64,72,79.7,0,0,0,0,1,0,1,0,0
로열스마티,1,3,4,55,464,4.3,1.1,1800,14.5,72.8,80.9,88.7,1,1,1,0,1,0,1,0,0
라온세레나,2,4,4,55,462,6.3,5.3,1800,13.6,72.5,80.4,88.2,0,1,1,0,0,1,1,0,0
능력시대,3,1,5,53,484,17.7,1.3,1800,13.6,72,80,87.7,0,0,1,0,0,1,1,0,0
사려니힐링,4,10,6,58,510,7.6,5.3,1800,15.2,72.1,80.1,87.8,0,0,0,1,0,0,1,0,0
센타포바,5,5,6,58,504,17.7,5.3,1800,14.5,72.8,80.6,88.4,0,0,0,0,1,0,1,0,0
이천쌀,6,7,5,55,488,106.4,5.3,1800,14.6,73.2,81.2,89,0,0,0,1,0,0,1,0,0
스피드청룡,7,6,5,54,501,106.4,5.3,1800,14.8,73.1,81,88.8,0,0,0,1,0,0,1,0,0
패스트패션,8,9,5,55,461,2,2.7,1800,15.9,72.6,80.6,88.4,0,0,0,1,0,0,1,0,0
청운시대,9,8,6,57,484,15.2,2.7,1800,15.1,73.1,81,88.7,0,0,0,1,0,0,1,0,0
혜성여왕,10,2,6,52,515,53.2,2.7,1800,13.9,72.5,80.6,88.4,0,0,0,0,0,1,1,0,0
브리가디어제너럴,1,6,4,52.5,481,6.5,11.3,1800,14.6,70.6,78.3,85.7,1,1,1,0,1,0,1,0,0
미스터터너,2,1,5,55,476,3.5,4.5,1800,15.3,71.4,79.1,86.6,0,1,1,1,0,0,1,0,0
적벽신화,3,8,5,53.5,480,8.3,22.7,1800,15.2,72.2,80,87.6,0,0,1,1,0,0,1,0,0
동방의기억,4,3,6,53.5,535,10.1,5.7,1800,14.5,70.9,78.8,86.4,0,0,0,0,1,0,1,0,0
케이엔에이스,5,12,4,52,490,91.2,22.7,1800,14.2,70.7,78.8,86.4,0,0,0,0,0,1,1,0,0
엘란,6,11,6,52,449,91.2,22.7,1800,14.6,71.5,79.6,87.4,0,0,0,1,0,0,1,0,0
프로마테우스,7,4,7,58,467,91.2,1,1800,14.6,71.1,79.1,86.8,0,0,0,1,0,0,1,0,0
청담타이거,8,7,5,52,479,91.2,11.3,1800,14.6,70.5,78.5,86,0,0,0,1,0,0,1,0,0
킹즈워리어,9,9,6,57.5,478,15.2,22.7,1800,15,71.9,79.9,87.5,0,0,0,0,1,0,1,0,0
무비쿠스,10,10,3,53,468,8.3,2.1,1800,14.9,71.1,79.2,86.9,0,0,0,0,1,0,1,0,0
글로벌에이스,11,2,3,52,524,3.4,4.5,1800,14.1,70.4,78.3,85.8,0,0,0,0,1,0,1,0,0
금석돌파,12,5,4,51.5,512,15.2,22.7,1800,16.6,71.7,79.8,87.8,0,0,0,1,0,0,1,0,0
문학타이거,1,2,4,55,507,4.3,1.6,1400,13.4,35.5,47.8,54.1,1,1,1,0,1,0,1,0,0
슈퍼플루이드,2,9,4,56.5,516,7.6,1.6,1400,13.6,36.7,49,55.1,0,1,1,0,1,0,1,0,0
짱콩,3,10,5,57.5,494,2,1.6,1400,13.4,35.8,47.9,54.2,0,0,1,0,1,0,1,0,0
